샘밭막국수 (서울본점), 서울시 서초구 서초동 1685-8, 02-585-1702, 국수 / 면 요리, 만원 미만, 주차공간없음, 11:30 - 21:30
봉산옥, 서울시 서초구 서초동 1451-8, 02-525-2282, 한정식 / 백반 / 정통 한식, 만원 미만, 유료주차 가능, 월-금: 11:00 - 21:50\n토: 11:00 - 21:30
마담버터플라이, 서울시 서초구 서초동 1621-3, 02-587-2604, 카페 / 디저트, 만원 미만, 주차공간없음, None
스시환, 서울시 서초구 서초동 1603-20, 02-523-3700, 회 / 스시, 만원-2만원, 주차공간없음, 11:00 - 22:00
우작설렁탕, 서울시 서초구 서초동 1621-5, 02-584-8544, 탕 / 찌개 / 전골, 만원 미만, 무료주차 가능, 월-금: 11:30 - 22:00\n토: 11:30 - 21:00
목천집, 서울시 서초구 서초동 1451-94, 02-525-8418, 국수 / 면 요리, 만원 미만, 무료주차 가능, 11:00 - 22:00
고종의아침, 서울시 서초구 서초동 1449-8, 02-598-1523, 카페 / 디저트, 만원 미만, 무료주차 가능, 10:00 - 23:00
허수아비돈까스 (서초점), 서울시 서초구 서초동 1451-52, 02-582-1187, 까스 요리, None, None, None
프릳츠커피컴퍼니 (3호점), 서울시 서초구 서초동 1363-10, 02-521-4148, 카페 / 디저트, 만원 미만, 주차공간없음, 10:00 - 22:00
임병주산동칼국수 (본점), 서울시 서초구 서초동 1365, 02-3473-7972, 국수 / 면 요리, 만원 미만, 무료주차 가능, 월-금: 11:00 - 21:30\n토-일: 11:00 - 21:00
방파제횟집, 서울시 강남구 도곡동 954-18, 02-3463-0053, 해산물 요리, 만원-2만원, 무료주차 가능, 16:00 - 01:00
황재벌, 서울시 서초구 서초동 1360-47, 02-3471-5454, 해산물 요리, 만원 미만, 유료주차 가능, 월-금: 16:30 - 02:00\n토-일: 16:30 - 24:00
크롬바커하우스 (양재점), 서울시 서초구 서초동 1365-10, 02-585-2471, 치킨 / 호프 / 펍, None, None, None
디오디아, 서울시 서초구 양재동 24, 02-526-8700, 뷔페, 4만원 이상, 무료주차 가능, 11:30 - 21:30
국미당, 서울시 강남구 도곡동 955-12, 02-533-6767, 기타 한식, 만원 미만, 주차공간없음, 10:30 - 21:00
타이쇼, 서울시 강남구 도곡동 957-1, 02-578-2453, 이자카야 / 오뎅 / 꼬치, 2만원-3만원, 주차공간없음, 18:00 - 02:00
강촌원조쭈꾸미, 서울시 서초구 양재동 13-9, 02-575-4458, 해산물 요리, 만원-2만원, 무료주차 가능, 11:00 - 23:50
금강수림, 서울시 강남구 도곡동 953-1, 02-577-9992, 해산물 요리, 2만원-3만원, 유료주차 가능, 10:30 - 22:00
브라운브레드 (도곡점), 서울시 강남구 도곡동 424-8, 070-8658-1236, 베이커리, 만원 미만, 주차공간없음, 11:30 - 19:00
마켓오 (도곡점), 서울시 강남구 도곡동 177-2, 02-3463-2700, 패밀리 레스토랑, 2만원-3만원, 유료주차 가능, 11:00 - 22:30
스타쉐프, 서울시 강남구 도곡동 417-2, 02-529-8248, 퓨전 양식, 2만원-3만원, 발렛, 10:30 - 24:00
카페진정성, 서울시 강남구 도곡동 423-10, 02-2135-7172, 카페 / 디저트, 만원 미만, 발렛 3,0
브라운핸즈 (도곡점), 서울시 강남구 도곡동 458, 02-572-0332, 카페 / 디저트, 만원 미만, 주차공간없음, 09:00 - 23:00
DOMA, 서울시 강남구 도곡동 423-10, 02-6925-4894, 스테이크 / 바베큐, 4만원 이상, 발렛, 11:00 - 23:00
부첼라 (매봉점), 서울시 강남구 도곡동 180-13, 02-575-7339, 카페 / 디저트, 만원-2만원, 주차공간없음, 09:00 - 21:00
포브라더스 (도곡점), 서울시 강남구 도곡동 423-5, 02-574-4147, 베트남 음식, 만원-2만원, 발렛, 11:00 - 22:00
브라이언스커피, 서울시 강남구 도곡동 457, 02-529-6399, 카페 / 디저트, None, None, None
스시카와, 서울시 강남구 도곡동 424-8, 02-573-0538, 정통 일식 / 일반 일식, 4만원 이상, 발렛, 11:30 - 22:00
김영모과자점 (도곡타워점), 서울시 강남구 도곡동 467-19, 02-3460-2005, 베이커리, 만원 미만, 무료주차 가능, 08:00 - 22:30
바켄 (타워팰리스점), 서울시 강남구 도곡동 467, 베이커리, 만원 미만, None, None, None
카페톨릭스, 서울시 강남구 도곡동 467, 02-579-0314, 브런치 / 버거 / 샌드위치, 만원-2만원, 유료주차 가능, 10:30 - 23:00
안남, 서울시 강남구 도곡동 467-24, 02-571-9412, 베트남 음식, 만원-2만원, 유료주차 가능, 11:30 - 22:00
노비아에노비오, 서울시 강남구 도곡동 467-24, 02-577-9081, 이탈리안, 2만원-3만원, 유료주차 가능, 11:00 - 22:00
호수삼계탕 (도곡동직영점), 서울시 강남구 도곡동 467-10, 02-573-2440, 탕 / 찌개 / 전골, 만원-2만원, 무료주차 가능, 11:00 - 21:00
야마모토스시 (도곡동점), 서울시 강남구 도곡동 467, 02-2057-0053, 회 / 스시, 4만원 이상, 무료주차 가능, 11:30 - 22:00
하겐다즈 (도곡타워팰리스점), 서울시 강남구 도곡동 467, 02-3462-4294, 카페 / 디저트, 만원 미만, None, None
우리네코다리, 서울시 강남구 대치동 629, 02-561-9098, 해산물 요리, 만원 미만, 무료주차 가능, 10:15 - 20:00
그안, 서울시 강남구 도곡동 467-29, 02-579-7748, 이탈리안, 만원-2만원, 무료주차 가능, 11:30 - 22:00
스톤밀, 서울시 강남구 대치동 511, 02-567-1228, 베이커리, 만원 미만, 주차공간없음, 10:00 - 21:00
파티세리김영모 (대치점), 서울시 강남구 대치동 622, 02-568-7003, 베이커리, 만원 미만, 무료주차 가능, 08:00 - 22:30
우리네코다리, 서울시 강남구 대치동 629, 02-561-9098, 해산물 요리, 만원 미만, 무료주차 가능, 10:15 - 20:00
엠브이샤브샤브, 서울시 강남구 대치동 507, 02-561-7573, 고기 요리, None, None, None
더브라운, 서울시 강남구 대치동 507-2, 02-554-0028, 카페 / 디저트, 만원 미만, 주차공간없음, 08:00 - 23:00
봉피양 (대치점), 서울시 강남구 대치동 628, 02-553-9391, 탕 / 찌개 / 전골, 만원-2만원, 발렛, 11:30 - 22:00
나폴레옹과자점 (대치점), 서울시 강남구 대치동 653, 02-556-2434, 베이커리, 만원 미만, 무료주차 가능, 08:00 - 22:00
베스타, 서울시 강남구 대치동 604, 02-553-3383, 이탈리안, 만원-2만원, 무료주차 가능, 11:30 - 21:30
육판장, 서울시 강남구 대치동 507-2, 02-564-6254, 한정식 / 백반 / 정통 한식, 만원 미만, 무료주차 가능, 11:00 - 21:00
사월에보리밥 (대치점), 서울시 강남구 대치동 629, 02-557-5223, 한정식 / 백반 / 정통 한식, 만원-2만원, 주차공간없음, 11:00 - 21:30
서평기사식당, 서울시 강남구 일원동 624-4, 02-226-1005, 닭 / 오리 요리, 만원 미만, None, None
어셈블리커피, 서울시 강남구 일원동 680-3, 02-6080-6780, 카페 / 디저트, 만원 미만, 주차공간없음, 월-금: 11:00 - 23:00\n토: 12:00 - 20:00
카페알케미, 서울시 강남구 일원동 646-4, 카페 / 디저트, 만원 미만, None, None, None
서울고로케, 서울시 강남구 일원동 678, 070-8160-1577, 기타 일식, 만원 미만, 주차공간없음, 11:00 - 22:00
비첼, 서울시 강남구 일원동 682-7, 02-451-1194, 기타 양식, 만원-2만원, 무료주차 가능, 11:30 - 22:00
본가 (일원점), 서울시 강남구 일원동 645-7, 02-445-9233, 고기 요리, 만원-2만원, 무료주차 가능, 10:00 - 22:00
치어스 (일원점), 서울시 강남구 일원동 687-5, 02-3443-9295, 치킨 / 호프 / 펍, 만원-2만원, 무료주차 가능 공간협소, 15:30 - 03:30
나나 (본점), 서울시 강남구 일원동 645-1, 02-451-3666, 이자카야 / 오뎅 / 꼬치, 4만원 이상, 발렛, 17:00 - 01:00
카페인더무드, 서울시 강남구 일원동 682-2, 070-8866-6822, 카페 / 디저트, 만원 미만, 주차공간없음, 12:00 - 21:00
청송일식, 서울시 강남구 개포동 14-5, 02-415-5430, 회 / 스시, 2만원-3만원, 무료주차 가능, 11:00 - 22:00
아티제 (일원점), 서울시 강남구 일원동 50, 02-3412-0017, 카페 / 디저트, 만원 미만, 유료주차 가능, 월-금: 07:00 - 21:30\n토-일: 07:30 - 21:30
치어스 (일원점), 서울시 강남구 일원동 687-5, 02-3443-9295, 치킨 / 호프 / 펍, 만원-2만원, 무료주차 가능 공간협소, 15:30 - 03:30
나나 (본점), 서울시 강남구 일원동 645-1, 02-451-3666, 이자카야 / 오뎅 / 꼬치, 4만원 이상, 발렛, 17:00 - 01:00
초원양꼬치, 서울시 강남구 일원동 666-4, 02-2226-3123, 기타 중식, 만원-2만원, 무료주차 가능, 일-목: 16:00 - 04:00\n금-토: 16:00 - 03:00
돈우마루, 서울시 강남구 일원동 666, 02-451-9966, 고기 요리, 만원-2만원, None, None
복대감, 서울시 강남구 일원동 666-9, 02-3414-9292, 해산물 요리, None, None, None
교토참치, 서울시 강남구 일원동 666-1, 02-459-8361, 회 / 스시, 3만원-4만원, 17:00 - 02:00, None
개성칡냉면, 서울시 강남구 일원동 687-4, 02-445-8254, 국수 / 면 요리, 만원 미만, 주차공간없음, 09:00 - 21:30
사또양념치킨, 서울시 강남구 수서동 746, 02-2226-0843, 닭 / 오리 요리, 만원 미만, 무료주차 가능, 17:00 - 24:00
제주탐하리, 서울시 강남구 일원동 687-5, 02-3411-9922, 고기 요리, 만원-2만원, 16:00 - 01:00, None
하남돼지집 (수서역점), 서울시 강남구 수서동 714-6, 02-3412-7227, 고기 요리, 2만원-3만원, 유료주차 가능, 17:00 - 24:00
슈퍼커피 (수서점), 서울시 강남구 수서동 713, 02-2226-3232, 카페 / 디저트, 만원 미만, 유료주차 가능, 월-금: 07:00 - 22:00\n토: 10:00 - 22:00
포메인 (수서점), 서울시 강남구 수서동 714-4, 02-445-7131, 베트남 음식, 만원-2만원, 주차공간없음, 11:00 - 23:30
제주몬트락 (수서직영점), 서울시 강남구 수서동 717-6, 02-2226-3393, 고기 요리, 3만원-4만원, 무료주차 가능, 월-금: 16:30 - 24:00\n토-일: 12:00 - 22:00
깐부치킨 (수서역점), 서울시 강남구 수서동 714-3, 02-459-0228, 치킨 / 호프 / 펍, 만원-2만원, 주차공간없음, 15:00 - 02:00
203 갈비해물집, 서울시 강남구 수서동 714, 02-451-7532, 고기 요리, 만원-2만원, 무료주차 가능, 월-금: 15:00 - 01:00\n토: 12:30 - 23:00
59년왕십리포차, 서울시 강남구 수서동 724, 02-3412-6655, 일반 주점, 만원-2만원, None, None
구찌라쿠, 서울시 강남구 수서동 724, 02-2226-2010, 기타 일식, 만원-2만원, 유료주차 가능, 월-토: 10:00 - 22:00
애란궁, 서울시 강남구 수서동 490-4, 02-445-5292, 닭 / 오리 요리, None, None, None
조선면옥, 서울시 강남구 수서동 450, 02-445-4200, 국수 / 면 요리, 만원 미만, , None
쌜모네키친, 서울시 송파구 문정동 150-32, 02-409-3923, 세계음식 기타, 2만원-3만원, 발렛, 11:30 - 22:00
파란달의 커피볶는집, 서울시 송파구 가락동 99, 02-401-1225, 카페 / 디저트, 만원 미만, 주차공간없음, 월-금: 07:30 - 23:30\n토-일: 07:30 - 23:00
함경도찹쌀순대, 서울시 송파구 가락동 79-7, 02-403-8822, 탕 / 찌개 / 전골, 만원 미만, 무료주차 가능, 00:00 - 24:00
킹카롱, 서울시 송파구 가락동 84-8, 010-2923-1822, 카페 / 디저트, 만원 미만, 주차공간없음, 11:30 - 21:30
씨앤모아 (송파점), 서울시 송파구 문정동 150-2, 02-403-2399, 뷔페, 3만원-4만원, 유료주차 가능, 11:30 - 22:00
진성한우곱창 (가락시장점), 서울시 송파구 가락동 80, 02-402-3439, 고기 요리, 만원-2만원, 주차공간없음, 12:00 - 03:00
금바위감자탕, 서울시 송파구 가락동 112-8, 02-404-3161, 탕 / 찌개 / 전골, 만원-2만원, 무료주차 가능, 00:00 - 24:00
화포식당 (가락점), 서울시 송파구 가락동 97-8, 02-409-5775, 고기 요리, 만원-2만원, 주차공간없음, 월-토: 08:30 - 01:00\n일: 11:00 - 24:00
유타로 (가락점), 서울시 송파구 가락동 79-5, 02-3789-4351, 라멘 / 소바 / 우동, 만원 미만, 무료주차 가능, 월-금: 11:00 - 23:00\n토-일: 11:00 - 22:30
설빙 (가락시장역점), 서울시 송파구 가락동 79-3, 02-404-0555, 카페 / 디저트, 만원 미만, 무료주차 가능, 11:00 - 22:30
홍종흔베이커리, 서울시 송파구 가락동 137-13, 02-2135-2261, 베이커리, 만원 미만, 주차공간없음, 08:00 - 23:00
가락골마산아구찜, 서울시 송파구 가락동 49-7, 02-409-6665, 해산물 요리, 2만원-3만원, 주차공간없음, 11:00 - 22:00
착한낙지 (송파점), 서울시 송파구 가락동 125-4, 02-431-1107, 해산물 요리, 만원-2만원, 무료주차 가능, 11:00 - 22:00
한락원, 서울시 송파구 가락동 123-11, 02-407-1773, 고기 요리, 2만원-3만원, 무료주차 가능, 11:30 - 22:00
일로스페인, 서울시 송파구 가락동 46-11, 02-6404-1010, 세계음식 기타, 만원-2만원, 무료주차 가능, 17:00 - 24:00
아사네커피, 서울시 송파구 가락동 49-6, 카페 / 디저트, 만원 미만, , None, None
선궁 (가락점), 서울시 송파구 가락동 125-8, 02-400-1804, 정통 중식 / 일반 중식, None, None, None
캄더커피랩, 서울시 송파구 가락동 142, 카페 / 디저트, None, None, None, None
프랭크서울 (경찰병원역점), 서울시 송파구 가락동 49, 02-402-5655, 기타 한식, 만원 미만, 주차공간없음, 11:30 - 22:30
백년교동짬뽕 (송파점), 서울시 송파구 가락동 123-10, 02-401-7875, 정통 중식 / 일반 중식, 만원 미만, None, None
프롬더빈, 서울시 송파구 오금동 50-3, 카페 / 디저트, 만원 미만, 월-금: 08:00 - 23:00\n토-일: 10:00 - 23:00, None, None
윤화돈까스 (오금직영점), 서울시 송파구 오금동 49-4, 02-443-5717, 기타 한식, 만원 미만, 무료주차 가능, 10:30 - 21:30
스시바오, 서울시 송파구 가락동 12-8, 02-6404-2954, 회 / 스시, 만원-2만원, None, None
부산복집 (오금동점), 서울시 송파구 오금동 48-16, 02-404-3227, 해산물 요리, 3만원-4만원, 발렛, 10:00 - 22:00
영사미, 서울시 송파구 가락동 17-10, 02-409-2036, 기타 한식, 만원 미만, 월-금: 11:30 - 21:00\n토-일: 11:30 - 20:00, 일
커피앰비언스, 서울시 송파구 가락동 18, 02-449-9967, 카페 / 디저트, None, None, None
독천낙지골, 서울시 송파구 오금동 49-7, 02-402-3160, 해산물 요리, 4만원 이상, 12:00 - 21:00, None
멘카야, 서울시 송파구 가락동 13-9, 070-4790-8253, 라멘 / 소바 / 우동, 만원 미만, 주차공간없음, 월-금: 11:00 - 23:00\n토: 11:00 - 21:00
오누이손만두, 서울시 송파구 가락동 19-6, 02-448-9222, 한정식 / 백반 / 정통 한식, 만원 미만, , None
고향산천, 서울시 송파구 오금동 49, 02-443-3900, 탕 / 찌개 / 전골, None, None, None
우리집곱창, 서울시 노원구 상계동 65-2, 02-936-6091, 고기 요리, None, None, None
고기촌수라상, 서울시 노원구 상계동 109-56, 02-936-0885, 고기 요리, None, None, None
엄마손칼국수, 서울시 노원구 상계동 111-478, 02-937-4967, 국수 / 면 요리, None, None, None
신통치킨 (당고개점), 서울시 노원구 상계동 111-514, 02-939-8282, 닭 / 오리 요리, 만원-2만원, 무료주차 가능, 13:00 - 24:00
당고개아구찜, 서울시 노원구 상계동 111-476, 02-934-4567, 기타 한식, None, None, None
원조솥뚜껑생삼겹살, 서울시 노원구 상계동 110-17, 02-939-3369, 고기 요리, None, None, None
마들사철탕, 서울시 노원구 상계동 109-46, 02-939-3121, 탕 / 찌개 / 전골, None, None, None
옛날맛순대국, 서울시 노원구 상계동 65-36, 02-932-6907, 탕 / 찌개 / 전골, None, None, None
춘천골닭갈비, 서울시 노원구 상계동 65-22, 02-935-7954, 닭 / 오리 요리, 만원-2만원, 주차공간없음, 11:30 - 24:00
육갑촌, 서울시 노원구 상계동 65-36, 02-937-1388, 정통 중식 / 일반 중식, None, None, None
돈까스먹는용만이, 서울시 노원구 중계동 140-42, 02-931-8870, 기타 한식, 만원 미만, 주차공간없음, 11:00 - 21:00
노걸대감자탕가마삼겹 (노원점), 서울시 노원구 중계동 589, 02-938-6992, 탕 / 찌개 / 전골, 만원-2만원, 무료주차 가능, 00:00 - 24:00
사카나, 서울시 노원구 중계동 154-33, 02-934-3686, 일반 주점, None, None, None
채선당 (중계점), 서울시 노원구 중계동 152-11, 02-951-4149, 고기 요리, 만원-2만원, 11:00 - 22:00, 
송화강식당, 서울시 노원구 중계동 154-31, 02-933-5888, 정통 중식 / 일반 중식, 만원-2만원, 주차공간없음, 12:00 - 24:00
도리연닭도리탕, 서울시 노원구 중계동 154-17, 02-938-6994, 닭 / 오리 요리, 만원-2만원, 주차공간없음, 17:00 - 04:00
홍화불닭, 서울시 노원구 중계동 154-22, 02-3392-2555, 닭 / 오리 요리, None, None, None
전씨네선술집, 서울시 노원구 중계동 138-1, 070-4102-9508, 이자카야 / 오뎅 / 꼬치, 2만원-3만원, None, None
봉평메밀막국수, 서울시 노원구 중계동 141-16, 02-939-1136, 국수 / 면 요리, None, None, None
시골순대 (상계점), 서울시 노원구 중계동 141-18, 02-935-6830, 탕 / 찌개 / 전골, 만원 미만, 무료주차 가능, 10:00 - 22:00
시드누아 (노원본점), 서울시 노원구 상계동 341-5, 02-938-9559, 카페 / 디저트, 만원 미만, 주차공간없음, 08:30 - 02:00
마쯔무라돈까스 (노원역점), 서울시 노원구 상계동 366-13, 02-933-7977, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:00
구법원, 서울시 노원구 상계동 727-2, 010-4909-9640, 기타 일식, 만원 미만, 주차공간없음, 12:30 - 19:30
노원목고기집, 서울시 노원구 상계동 349-24, 02-932-6599, 고기 요리, 만원-2만원, 주차공간없음, 16:00 - 23:00
털보고된이, 서울시 노원구 상계동 332-3, 02-932-8616, 한정식 / 백반 / 정통 한식, 만원 미만, 무료주차 가능, 11:30 - 22:00
E9선생, 서울시 노원구 상계동 606-14, 02-934-8840, 한정식 / 백반 / 정통 한식, 만원 미만, 무료주차 가능 공간협소, 10:00 - 22:00
쯔이코, 서울시 노원구 상계동 581-214, 02-931-3322, 돈부리 / 일본 카레 / 벤토, 만원 미만, 유료주차 가능, 11:30 - 21:30
디저트카페바미, 서울시 노원구 상계동 1251, 010-6801-7034, 카페 / 디저트, 만원 미만, 주차공간없음, 화-금: 12:00 - 21:00\n토: 12:00 - 19:00
핏짜굽는언니 (노원역점), 서울시 노원구 상계동 603-8, 02-937-0234, 이탈리안, 만원 미만, 주차공간없음, 11:30 - 22:00
이자카야모리, 서울시 노원구 상계동 616-1, 02-3391-5222, 이자카야 / 오뎅 / 꼬치, 만원-2만원, 주차공간없음, None
가배미혼, 서울시 도봉구 쌍문동 88-97, 010-8716-4702, 카페 / 디저트, 만원 미만, 주차공간없음, 13:30 - 22:00
노말키친, 서울시 도봉구 창동 657-125, 퓨전 양식, 만원 미만, , None, None
쌍문역파스타, 서울시 도봉구 창동 651-64, 02-6052-0529, 기타 양식, 만원-2만원, 주차공간없음, 11:30 - 22:00
동적불고기 (1호점), 서울시 도봉구 쌍문동 100-35, 02-906-9732, 고기 요리, 만원-2만원, 주차공간없음, 14:00 - 23:30
쌍문동판다쓰, 서울시 도봉구 쌍문동 395-6, 02-6052-1578, 정통 중식 / 일반 중식, 만원 미만, 주차공간없음, 11:30 - 23:30
스시혼, 서울시 도봉구 창동 650-30, 02-993-3290, 회 / 스시, 2만원-3만원, 무료주차 가능, 11:30 - 22:00
스시화, 서울시 도봉구 창동 661-3, 02-991-9878, 회 / 스시, 만원-2만원, 무료주차 가능, 14:00 - 24:00
산사로, 서울시 도봉구 쌍문동 103-218, 02-6085-4708, 이자카야 / 오뎅 / 꼬치, 2만원-3만원, 무료주차 가능, 17:00 - 02:00
곰파곰파의 뜨라또리아, 서울시 도봉구 쌍문동 88-108, 010-9037-1090, 기타 양식, 만원-2만원, 무료주차 가능, 월-목: 12:00 - 21:00\n금-토: 12:00 - 22:00\n일: 12:00 - 유동적
라스커피, 서울시 도봉구 쌍문동 103-231, 010-7150-4887, 카페 / 디저트, 만원 미만, 무료주차 가능, 11:00 - 23:00
플레이버, 서울시 강북구 번동 417-16, 02-6052-3869, 브런치 / 버거 / 샌드위치, 만원 미만, 주차공간없음, 11:00 - 22:00
귀품찬, 서울시 강북구 수유동 230-7, 02-995-0092, 고기 요리, 3만원-4만원, 무료주차 가능, 11:00 - 22:00
피디스, 서울시 강북구 번동 445-50, 02-905-7117, 카페 / 디저트, 만원 미만, 무료주차 가능 공간협소, None
라보엠, 서울시 강북구 수유동 192-56, 02-998-5251, 이탈리안, 만원-2만원, 발렛, 11:30 - 23:00
페넬로페, 서울시 강북구 수유동 223-6, 02-908-0298, 치킨 / 호프 / 펍, None, None, None
스시도리 (수유점), 서울시 강북구 수유동 191-67, 02-999-8010, 회 / 스시, 만원-2만원, 주차공간없음, 11:30 - 05:00
상미규카츠, 서울시 강북구 수유동 192-35, 02-996-8892, 까스 요리, 만원-2만원, 주차공간없음, 11:00 - 02:30
석관동떡볶이 (수유점), 서울시 강북구 수유동 191-76, 02-993-1674, 기타 한식, 만원 미만, 주차공간없음, 11:00 - 02:00
유리갈비, 서울시 강북구 수유동 192-23, 02-904-8804, 고기 요리, 만원-2만원, 유료주차 가능, 14:00 - 24:00
정스시, 서울시 강북구 수유동 190-9, 02-900-9018, 회 / 스시, 만원-2만원, 유료주차 가능, 월-금: 12:00 - 24:00\n토: 18:00 - 24:00
카페로니, 서울시 강북구 미아동 125-14, 02-982-7100, 카페 / 디저트, 만원 미만, 유료주차 가능, 월-금: 08:00 - 22:00\n토-일: 10:30 - 22:00
어니언, 서울시 강북구 미아동 127-9, 070-7816-2714, 카페 / 디저트, 만원 미만, None, None
짱곱창, 서울시 강북구 미아동 211-7, 02-984-4780, 고기 요리, 만원-2만원, 주차공간없음, 월-금: 17:00 - 01:00\n토-일: 17:00 - 02:00
태릉솔밭갈비, 서울시 강북구 미아동 317-19, 02-980-1631, 고기 요리, 만원-2만원, 주차공간없음, 10:30 - 23:00
우이동 멸치국수, 서울시 강북구 미아동 207-10, 010-3494-4495, 국수 / 면 요리, 만원 미만, 주차공간없음, 09:30 - 22:00
와겐커피 (본점), 서울시 강북구 미아동 197-11, 02-945-3001, 카페 / 디저트, 만원 미만, 무료주차 가능, 08:00 - 01:00
고향산천, 서울시 강북구 미아동 310-2, 02-981-5959, 닭 / 오리 요리, 만원-2만원, 무료주차 가능, 11:00 - 23:00
스시광, 서울시 강북구 미아동 126-22, 070-8942-4991, 회 / 스시, None, None, None
마루벌돌구이 (미아점), 서울시 강북구 미아동 316-1, 02-980-9222, 고기 요리, None, None, None
청양육개장 (미아직영점), 서울시 강북구 미아동 209-8, 02-989-6910, 탕 / 찌개 / 전골, 만원 미만, None, None
벤투라커피로스터스, 서울시 강북구 미아동 75-148, 070-8225-8075, 카페 / 디저트, 만원 미만, 주차공간없음, 11:00 - 23:00
토다이 (미아점), 서울시 강북구 미아동 70-6, 02-944-2071, 뷔페, 3만원-4만원, 유료주차 가능, 월-금: 11:50 - 22:00\n토-일: 11:30 - 22:00
일도씨닭갈비 (미아점), 서울시 강북구 미아동 55-40, 02-982-9008, 닭 / 오리 요리, 만원-2만원, 주차공간없음, 11:00 - 24:00
장수감자탕, 서울시 성북구 길음동 489-58, 02-982-1009, 탕 / 찌개 / 전골, 만원 미만, 주차공간없음, 10:00 - 24:00
왕빈자삼파전 (본점), 서울시 강북구 미아동 860-23, 02-987-0839, 한정식 / 백반 / 정통 한식, 만원-2만원, 주차공간없음, 00:00 - 24:00
제일분식, 서울시 강북구 미아동 60-5, 02-985-7333, 기타 한식, 만원 미만, 유료주차 가능, 09:00 - 21:00
한잔, 서울시 강북구 미아동 55-32, 02-6428-0027, 일반 주점, 만원-2만원, 주차공간없음, 17:00 - 05:00
키쉬미뇽, 서울시 강북구 미아동 55-14, 02-987-5553, 카페 / 디저트, 만원 미만, None, None
삼덕식당, 서울시 강북구 미아동 54-211, 02-988-1019, 고기 요리, 만원-2만원, 주차공간없음, 월-금: 11:00 - 02:00\n토-일: 11:00 - 01:00
일미집, 서울시 강북구 미아동 465-46, 02-987-3055, 기타 한식, 만원-2만원, 주차공간없음, None
불난집, 서울시 성북구 길음동 541-85, 02-943-6983, 기타 한식, 만원 미만, 주차공간없음, 11:00 - 22:00
채선당 (길음점), 서울시 성북구 돈암동 625-2, 02-924-1034, 탕 / 찌개 / 전골, 만원-2만원, 무료주차 가능, 11:00 - 22:00
갈비명가이상, 서울시 성북구 하월곡동 221, 02-919-8000, 고기 요리, 무료주차 가능, 11:00 - 24:00, 연중무휴
갈비명가이상 (돈암본점), 서울시 성북구 돈암동 12-8, 02-925-8700, 고기 요리, 11:00 - 23:00,2, None
길음동 스마일 명품 찹쌀 꽈배기, 서울시 성북구 길음동 1076, 010-4301-4589, 카페 / 디저트, 만원 미만, None, None
난이네곱창, 서울시 성북구 길음동 877-197, 02-909-4301, 고기 요리, 만원 미만, None, None
복돼지마을, 서울시 성북구 길음동 1222, 02-3292-9233, 고기 요리, 만원-2만원, 무료주차 가능, 12:00 - 22:30
초밥특공대, 서울시 성북구 길음동 541-10, 02-6229-4545, 회 / 스시, 만원-2만원, 주차공간없음, 11:30 - 22:00
하나둘둘셋, 서울시 성북구 길음동 1284, 070-4250-4557, 카페 / 디저트, 만원 미만, 주차공간없음, 09:00 - 23:00
사이야 (길음역점), 서울시 성북구 돈암동 12-13, 02-922-4149, 이자카야 / 오뎅 / 꼬치, 만원-2만원, 18:00 - 03:00, None
휘스커, 서울시 성북구 성북동1가 95, 070-4227-5920, 카페 / 디저트, 만원 미만, 무료주차 가능, 12:00 - 21:00
