에베레스트 (영등포점), 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
커피리브레 (타임스퀘어), 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
마호가니커피 (타임스퀘어점), 서울시 도봉구 쌍문동 103-231, 010-7150-4887, 카페 / 디저트, 만원 미만, 무료주차 가능, 11:00 - 23:00
마굿간생고기 , 서울시 도봉구 쌍문동 103-231, 010-7150-4887, 카페 / 디저트, 만원 미만, 무료주차 가능, 11:00 - 23:00
켄비멘리키 , 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
마호가니 , 서울시 도봉구 쌍문동 103-231, 010-7150-4887, 카페 / 디저트, 만원 미만, 무료주차 가능, 11:00 - 23:00
카페마마스 (타임스퀘어), 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
삼송빵집 (신세계백화점 영등포점), 서울시 광진구 구의동 593-9, 02-453-9733, 까스 요리, 만원 미만, 무료주차 가능, 11:00 - 21:00
달빛한모금 (영등포점), 서울시 도봉구 쌍문동 88-108, 010-9037-1090, 기타 양식, 만원-2만원, 무료주차 가능," 월-목: 12:00 - 21:00,금-토: 12:00 - 22:00,일: 12:00 - 유동적"
올드문래 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
신도림 이도식당 , 인천시 부평구 갈산동 382-1, 032-221-3310, 카페 / 디저트, 만원 미만, 무료주차 가능, 12:00 - 22:00
코나야 (현대백화점 디큐브시티점), 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
백미당 1964 (디큐브 시티점), 서울시 성동구 행당동 155-1, 02-6454-6209, 기타 한식, 만원 미만, 주차공간없음, 10:30 - 22:00
미미네 (현대백화점 디큐브시티점), 서울시 성동구 행당동 155-1, 02-6454-6221, 기타 일식, 만원-2만원, 무료주차 가능, 11:00 - 22:00
찬장 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
쉐라톤디큐브시티로비라운지바 , 인천시 부평구 갈산동 382-1, 032-221-3310, 카페 / 디저트, 만원 미만, 무료주차 가능, 12:00 - 22:00
빈브라더스 (신도림디큐브시티백화점점), 서울시 성동구 행당동 155-1, 02-6454-6209, 기타 한식, 만원 미만, 주차공간없음, 10:30 - 22:00
이춘복참치 (현대백화점 디큐브시티점), 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
신도림참족발 , 인천시 부평구 갈산동 382-1, 032-221-3310, 카페 / 디저트, 만원 미만, 무료주차 가능, 12:00 - 22:00
영화장 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
외대철판마을 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
본가할머니보쌈 , 서울시 성동구 행당동 155-1, 02-6454-6209, 기타 한식, 만원 미만, 주차공간없음, 10:30 - 22:00
레알라면 , 서울시 도봉구 쌍문동 103-231, 010-7150-4887, 카페 / 디저트, 만원 미만, 무료주차 가능, 11:00 - 23:00
원더러스트 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
옹골진치킨 (외대점), 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
베브릿지 (외대 본점), 서울시 성동구 행당동 155-1, 02-6454-6209, 기타 한식, 만원 미만, 주차공간없음, 10:30 - 22:00
언니네함바그 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
고수찜닭 (외대점), 서울시 노원구 상계동 109-56, 02-936-0885, 고기 요리, None, None, None
통일부대찌개 , 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
로지스시 , 서울시 도봉구 쌍문동 103-231, 010-7150-4887, 카페 / 디저트, 만원 미만, 무료주차 가능, 11:00 - 23:00
서울쉬퐁 , 인천시 부평구 갈산동 382-1, 032-221-3310, 카페 / 디저트, 만원 미만, 무료주차 가능, 12:00 - 22:00
농이마을 , 서울시 도봉구 쌍문동 88-108, 010-9037-1090, 기타 양식, 만원-2만원, 무료주차 가능," 월-목: 12:00 - 21:00,금-토: 12:00 - 22:00,일: 12:00 - 유동적"
광산떡볶이 , 서울시 노원구 상계동 109-56, 02-936-0885, 고기 요리, None, None, None
진도식당 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
진성각 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
남대문임금님표꿀타래 , 서울시 노원구 상계동 109-56, 02-936-0885, 고기 요리, None, None, None
안다미로왕솥뚜껑삼겹살 , 인천시 부평구 갈산동 382-1, 032-221-3310, 카페 / 디저트, 만원 미만, 무료주차 가능, 12:00 - 22:00
별난주점 (한예종점), 서울시 성동구 행당동 155-1, 02-6454-6209, 기타 한식, 만원 미만, 주차공간없음, 10:30 - 22:00
신마포갈매기 (이문삼거리점), 인천시 부평구 갈산동 382-1, 032-221-3310, 카페 / 디저트, 만원 미만, 무료주차 가능, 12:00 - 22:00
창신동매운족발 (1호점), 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
창신동매운족발 (석계점), 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
남해바다마차 , 서울시 노원구 상계동 109-56, 02-936-0885, 고기 요리, None, None, None
봉추찜닭 (석계점), 서울시 성동구 행당동 155-1, 02-6454-6209, 기타 한식, 만원 미만, 주차공간없음, 10:30 - 22:00
채선당 (석계점), 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
치어스 (석계역점), 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
무명칼국수 , 서울시 중구 수표동 56-12, 태국 음식, 만원 미만, None, None, None
이층블루스 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
버들국수 , 서울시 성동구 행당동 155-1, 02-6454-6209, 기타 한식, 만원 미만, 주차공간없음, 10:30 - 22:00
포베이 (석계역점), 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
마루국시 , 서울시 도봉구 쌍문동 103-231, 010-7150-4887, 카페 / 디저트, 만원 미만, 무료주차 가능, 11:00 - 23:00
육당21 (월계점), 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
용궁중화요리 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
월계철판곱창 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
보리보리 , 서울시 성동구 행당동 155-1, 02-6454-6209, 기타 한식, 만원 미만, 주차공간없음, 10:30 - 22:00
와플팝 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
가장맛있는족발족과의동침 (월계점),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
썬더치킨 (인덕대점), 인천시 부평구 갈산동 382-1, 032-221-3310, 카페 / 디저트, 만원 미만, 무료주차 가능, 12:00 - 22:00
행복추풍령감자탕묵은지 (월계점), 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
전봇대곱창 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
금희네삼겹살 , 서울시 노원구 상계동 109-56, 02-936-0885, 고기 요리, None, None, None
맥시칸 (녹천점), 서울시 중구 수표동 56-12, 태국 음식, 만원 미만, None, None, None
블랙드럼 , 서울시 성동구 행당동 155-1, 02-6454-6209, 기타 한식, 만원 미만, 주차공간없음, 10:30 - 22:00
유즈라멘 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
카페올로 (서울스퀘어점), 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
해랑스시 , 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
카페395 (밀레니엄서울힐튼), 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
이창희스시 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
베리스트리트키친 , 서울시 성동구 행당동 155-1, 02-6454-6209, 기타 한식, 만원 미만, 주차공간없음, 10:30 - 22:00
카니발피자 , 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
서울리스타 , 인천시 부평구 갈산동 382-1, 032-221-3310, 카페 / 디저트, 만원 미만, 무료주차 가능, 12:00 - 22:00
누들박스 (서울역점), 서울시 도봉구 쌍문동 88-108, 010-9037-1090, 기타 양식, 만원-2만원, 무료주차 가능," 월-목: 12:00 - 21:00,금-토: 12:00 - 22:00,일: 12:00 - 유동적"
애성회관 (북창동점), 인천시 부평구 갈산동 382-1, 032-221-3310, 카페 / 디저트, 만원 미만, 무료주차 가능, 12:00 - 22:00
마르셀 , 서울시 도봉구 쌍문동 103-231, 010-7150-4887, 카페 / 디저트, 만원 미만, 무료주차 가능, 11:00 - 23:00
진주회관 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
림벅와플 (덕수궁직영점), 서울시 도봉구 쌍문동 103-231, 010-7150-4887, 카페 / 디저트, 만원 미만, 무료주차 가능, 11:00 - 23:00
잼배옥 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
모모카페 , 서울시 중구 수표동 56-12, 태국 음식, 만원 미만, None, None, None
도원 (플라자호텔), 서울시 도봉구 쌍문동 88-108, 010-9037-1090, 기타 양식, 만원-2만원, 무료주차 가능," 월-목: 12:00 - 21:00,금-토: 12:00 - 22:00,일: 12:00 - 유동적"
에릭케제르 (플라자호텔), 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
송옥 (본점), 인천시 부평구 갈산동 382-1, 032-221-3310, 카페 / 디저트, 만원 미만, 무료주차 가능, 12:00 - 22:00
유림면 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
더미 (광화문 본점), 서울시 도봉구 쌍문동 88-108, 010-9037-1090, 기타 양식, 만원-2만원, 무료주차 가능," 월-목: 12:00 - 21:00,금-토: 12:00 - 22:00,일: 12:00 - 유동적"
백부장집닭한마리 (본점), 서울시 성동구 행당동 155-1, 02-6454-6209, 기타 한식, 만원 미만, 주차공간없음, 10:30 - 22:00
무교동북어국집 , 서울시 중구 수표동 56-12, 태국 음식, 만원 미만, None, None, None
반짝반짝빛나는 , 서울시 성동구 행당동 155-1, 02-6454-6209, 기타 한식, 만원 미만, 주차공간없음, 10:30 - 22:00
황산샤브샤브 , 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
종로돈부리 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
교대이층집 (광화문점), 서울시 노원구 상계동 109-56, 02-936-0885, 고기 요리, None, None, None
정선할매곤드레밥 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
청진식당 , 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
커피기업 (광화문점), 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
뚝배기집 , 서울시 도봉구 쌍문동 88-108, 010-9037-1090, 기타 양식, 만원-2만원, 무료주차 가능," 월-목: 12:00 - 21:00,금-토: 12:00 - 22:00,일: 12:00 - 유동적"
크래프트루 , 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
포탈라 (종로점), 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
양키스버거 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
호반 , 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
녹기전에 , 서울시 도봉구 쌍문동 88-108, 010-9037-1090, 기타 양식, 만원-2만원, 무료주차 가능," 월-목: 12:00 - 21:00,금-토: 12:00 - 22:00,일: 12:00 - 유동적"
국수찾아닭만리 , 서울시 노원구 상계동 109-56, 02-936-0885, 고기 요리, None, None, None
서울커피 (익선점), 인천시 부평구 갈산동 382-1, 032-221-3310, 카페 / 디저트, 만원 미만, 무료주차 가능, 12:00 - 22:00
리장수 , 서울시 도봉구 쌍문동 103-231, 010-7150-4887, 카페 / 디저트, 만원 미만, 무료주차 가능, 11:00 - 23:00
효자동목고기 , 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
부촌육회 , 서울시 성동구 행당동 155-1, 02-6454-6209, 기타 한식, 만원 미만, 주차공간없음, 10:30 - 22:00
창신육회 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
육회자매집 (3호점), 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
육회자매집 (2호점), 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
진옥화할매원조닭한마리 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
은성횟집 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
형제육회 , 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
순희네빈대떡 , 인천시 부평구 갈산동 382-1, 032-221-3310, 카페 / 디저트, 만원 미만, 무료주차 가능, 12:00 - 22:00
소문난원할매닭한마리 (종로본점), 인천시 부평구 갈산동 382-1, 032-221-3310, 카페 / 디저트, 만원 미만, 무료주차 가능, 12:00 - 22:00
원조누드치즈김밥 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
비엘티스테이크 (JW메리어트동대문), 서울시 성동구 행당동 155-1, 02-6454-6209, 기타 한식, 만원 미만, 주차공간없음, 10:30 - 22:00
옥천왕족발 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
동북화과왕 , 서울시 도봉구 쌍문동 88-108, 010-9037-1090, 기타 양식, 만원-2만원, 무료주차 가능," 월-목: 12:00 - 21:00,금-토: 12:00 - 22:00,일: 12:00 - 유동적"
마고미 , 서울시 도봉구 쌍문동 103-231, 010-7150-4887, 카페 / 디저트, 만원 미만, 무료주차 가능, 11:00 - 23:00
일젤라또 (현대시티아울렛 동대문점), 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
창신동매운족발 (본점), 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
라에스키모 (현대시티아울렛 동대문점), 서울시 도봉구 쌍문동 103-231, 010-7150-4887, 카페 / 디저트, 만원 미만, 무료주차 가능, 11:00 - 23:00
코나야 (현대시티아울렛 동대문점), 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
그리핀바 , 서울시 노원구 상계동 109-56, 02-936-0885, 고기 요리, None, None, None
더라운지 (JW 메리어트호텔 동대문점), 서울시 도봉구 쌍문동 88-108, 010-9037-1090, 기타 양식, 만원-2만원, 무료주차 가능," 월-목: 12:00 - 21:00,금-토: 12:00 - 22:00,일: 12:00 - 유동적"
육전식당 (1호점), 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
육전식당 (3호점), 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
육전식당 (2호점), 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
리도 , 서울시 도봉구 쌍문동 103-231, 010-7150-4887, 카페 / 디저트, 만원 미만, 무료주차 가능, 11:00 - 23:00
황박사소갈비 , 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
어른이대공원 , 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
팔삼 , 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
미스사이공 (신설동점), 서울시 성동구 행당동 155-1, 02-6454-6221, 기타 일식, 만원-2만원, 무료주차 가능, 11:00 - 22:00
학술적연구소 , 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
빈이네곱창 , 서울시 성동구 행당동 155-1, 02-6454-6209, 기타 한식, 만원 미만, 주차공간없음, 10:30 - 22:00
나정순할매쭈꾸미 , 서울시 노원구 상계동 109-56, 02-936-0885, 고기 요리, None, None, None
평양냉면 , 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
히든트랙 , 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
마약고기 , 서울시 도봉구 쌍문동 103-231, 010-7150-4887, 카페 / 디저트, 만원 미만, 무료주차 가능, 11:00 - 23:00
용두동임오네쭈꾸미 (1호점 본점), 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
청량리할머니냉면 (용두점), 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
상생장 , 인천시 부평구 갈산동 382-1, 032-221-3310, 카페 / 디저트, 만원 미만, 무료주차 가능, 12:00 - 22:00
함경면옥 , 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
치킨마루 (제기동점), 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
감초식당 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
낙산냉면 , 서울시 노원구 상계동 109-56, 02-936-0885, 고기 요리, None, None, None
히말라얀레스토랑 (동묘역점), 경기도 고양시 덕양구 대장동 288-1, 031-967-9292, 닭 / 오리 요리, 만원-2만원, 무료주차 가능, 11:00 - 22:00
호텔고기뷔페 , 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
채선당 (동묘점), 인천시 부평구 부평동 888-5, 010-9924-6750, 카페 / 디저트, 만원 미만, 주차공간없음," 월-금: 09:30 - 22:00,토: 10:00 - 22:00,일: 10:00 - 19:00"
본고향맛집 (동묘점), 서울시 성동구 행당동 155-1, 02-6454-6209, 기타 한식, 만원 미만, 주차공간없음, 10:30 - 22:00
동묘 어탕국수 , 서울시 도봉구 쌍문동 88-108, 010-9037-1090, 기타 양식, 만원-2만원, 무료주차 가능," 월-목: 12:00 - 21:00,금-토: 12:00 - 22:00,일: 12:00 - 유동적"
나마스테 (동묘점), 서울시 노원구 상계동 109-56, 02-936-0885, 고기 요리, None, None, None
호로록커피 , 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
고기튀김전문집 , 서울시 노원구 상계동 109-56, 02-936-0885, 고기 요리, None, None, None
포메인 (동묘점), 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
카페 하인츠 (팬타포트점), 서울시 광진구 화양동 498-1, 02-444-2355, 까스 요리, 만원 미만, 주차공간없음, 11:00 - 21:30
